Period,Value
1/8/2018,521962
1/9/2018,478595
1/10/2018,505194
1/11/2018,520956
1/12/2018,559289
1/1/2019,458089
1/2/2019,443708
1/3/2019,515694
1/4/2019,509413
1/5/2019,547130
1/6/2019,518273
1/7/2019,532103
1/8/2019,545247
1/9/2019,496074
1/10/2019,525539
1/11/2019,535352
1/12/2019,591380
1/1/2020,481862
1/2/2020,479868
1/3/2020,481513
1/4/2020,410190
1/5/2020,504802
1/6/2020,NA
1/7/2020,NA
1/8/2020,NA
1/9/2020,NA
1/10/2020,NA
1/11/2020,NA
1/12/2020,NA
